Account Number,Organization,City,Country,CDP Region,0
839970,San Justo,San Justo,Argentina,Latin America,1
839970,San Justo (Argentina),San Justo,Argentina,Latin America,2
839971,San Nicolás de los Arroyos,San Nicolás de los Arroyos,Argentina,Latin America,1
839972,Villa Eloisa,Villa Eloisa,Argentina,Latin America,1
839980,Municipalidad de Avellaneda,nan,Argentina,Latin America,4
839982,Sepang Municipal Council,nan,Malaysia,Southeast Asia and Oceania,1
840018,Municipalidad Distrital de Ate,Lima,Peru,Latin America,1
840018,Municipalidad Distrital de Ate,nan,Peru,Latin America,3
840024,Perth and Kinross,nan,United Kingdom of Great Britain and Northern Ireland,Europe,3
840030,Reconquista,nan,Argentina,Latin America,2
840033,Laborde,nan,Argentina,Latin America,1
840034,Morón,nan,Argentina,Latin America,1
840035,Cerrito,nan,Argentina,Latin America,1
840036,La Paz,nan,Argentina,Latin America,2
840037,Tilisarao,nan,Argentina,Latin America,1
840038,Justiniano Posse,nan,Argentina,Latin America,2
840039,Arequito,nan,Argentina,Latin America,2
840042,Gislaveds Kommun,GISLAVED,Sweden,Europe,1
840070,Somerset West and Taunton,nan,United Kingdom of Great Britain and Northern Ireland,Europe,4
840075,Unley City Council,Unley,Australia,Oceania,2
840077,Prefeitura de Santa Luzia,Santa Luzia,Brazil,Latin America,1
840107,City of Kaposvár,Kaposvar,Hungary,Europe,1
840113,Bhavnagar Municipal Corporation,Bhavnagar,India,South Asia,1
840122,Siliguri Municipal Corporation,Siliguri,India,South Asia,1
840122,Siliguri Municipal Corporation,Siliguri,India,South and West Asia,1
840131,Tiruchirappalli City Municipal Corporation,Tiruchirappalli,India,South Asia,1
840131,Tiruchirappalli City Municipal Corporation,Tiruchirappalli,India,South and West Asia,1
840132,Comune di Assisi,Assisi,Italy,Europe,1
840134,Tirunelveli Municipal Corporation,Tirunelveli,India,South Asia,1
840153,Municipality of Santa Catarina,Santa Catarina,Mexico,Latin America,2
840158,"City of San Fernando, La Union",San Fernando,Philippines,Southeast Asia,1
840161,Municipality of Del Carmen,Del Carmen,Philippines,Southeast Asia,2
840161,Municipality of Del Carmen,Del Carmen,Philippines,Southeast Asia and Oceania,2
840169,Eunpyeong-gu Municipal Government of Seoul,Seoul Teukbyeolsi,Republic of Korea,East Asia,1
840178,Michuhol-gu District of Incheon,nan,Republic of Korea,East Asia,1
840178,Michuhol-gu Municipal Government of Incheon,nan,Republic of Korea,East Asia,1
840186,"Municipality of San Francisco, Cebu",San Francisco,Philippines,Southeast Asia,1
840201,"City of Columbus, IN",Columbus,United States of America,United States of America,1
840208,Botkyrka kommun,Tumba,Sweden,Europe,1
840228,"Town of Davie, FL",Davie,United States of America,United States of America,1
840234,"City of Greenville, SC",Greenville,United States of America,United States of America,1
840244,Prefeitura de Águas da Prata,nan,Brazil,Latin America,2
840253,Prefeitura de Pedra Bela,nan,Brazil,Latin America,1
840255,Prefeitura de Iperó,nan,Brazil,Latin America,1
840269,"Town of Whitby, ON",Whitby,Canada,Canada,1
840269,"Town of Whitby, ON",nan,Canada,North America,2
840269,"Town of Whitby, ON",nan,Canada,nan,1
840309,Markaryds Kommun,nan,Sweden,Europe,1
840313,Municipalidad Cerro Navia,nan,Chile,Latin America,4
840328,Municipalidad San Pedro Carchá,nan,Guatemala,Latin America,1
840349,St Davids,nan,United Kingdom of Great Britain and Northern Ireland,Europe,1
840370,Upplands-Bro Municipality,Upplands-Bro kommun,Sweden,Europe,1
840371,Falkoping Kommun,Falköping,Sweden,Europe,2
840371,Falköpings kommun,Falköping,Sweden,Europe,1
840419,Mahasarakham Municipality,nan,Thailand,Southeast Asia and Oceania,1
840425,Skövde kommun,Skövde,Sweden,Europe,2
840428,Hua-Hin Municipality,nan,Thailand,Southeast Asia,1
840490,City of La Carlota,nan,Philippines,Southeast Asia and Oceania,1
840492,City of Malolos,nan,Philippines,Southeast Asia and Oceania,1
840507,Dura Municipality,nan,State of Palestine,Middle East,1
840514,Blitar City,nan,Indonesia,Southeast Asia,2
840514,Blitar City,nan,Indonesia,Southeast Asia and Oceania,1
840515,Tangerang Selatan City,nan,Indonesia,Southeast Asia and Oceania,2
840521,City of Denizli,nan,Turkey,Europe,4
840529,Ayuntamiento de Victoria (Tamaulipas),nan,Mexico,Latin America,3
840601,Ayuntamiento de San Miguel de Allende,nan,Mexico,Latin America,2
840693,Municipio de Maneiro,nan,Venezuela (Bolivarian Republic of),Latin America,3
840905,City of Kaysone Phomvihane,nan,Lao People's Democratic Republic,Southeast Asia,1
840905,City of Kaysone Phomvihane,nan,Lao People's Democratic Republic,Southeast Asia and Oceania,1
840914,Prefeitura de Cáceres,nan,Brazil,Latin America,2
840915,Prefeitura de Curvelo,nan,Brazil,Latin America,2
840916,Prefeitura de Igarassu,nan,Brazil,Latin America,1
840917,Prefeitura de Pau Brasil,nan,Brazil,Latin America,4
840918,Prefeitura de Pilões,nan,Brazil,Latin America,4
840919,Prefeitura de Fraiburgo,nan,Brazil,Latin America,1
840923,Prefeitura de Nova Santa Rita,nan,Brazil,Latin America,3
840924,Prefeitura de Alexânia,nan,Brazil,Latin America,4
840925,Prefeitura de Indiaroba,nan,Brazil,Latin America,1
840926,Prefeitura de Serra Talhada,nan,Brazil,Latin America,4
840927,Prefeitura de São Cristóvão,nan,Brazil,Latin America,4
840930,Prefeitura de Venâncio Aires,nan,Brazil,Latin America,1
840931,Prefeitura de Cordeirópolis,nan,Brazil,Latin America,4
840935,Prefeitura de Brasiléia,nan,Brazil,Latin America,4
840936,Prefeitura de Guanhães,nan,Brazil,Latin America,4
840937,Prefeitura de Epitaciolândia,nan,Brazil,Latin America,1
840938,Prefeitura de São Luis de Montes Belos,nan,Brazil,Latin America,1
840941,Prefeitura de Vila Nova dos Martírios,nan,Brazil,Latin America,1
840943,Prefeitura de Boa Ventura,nan,Brazil,Latin America,4
840944,Prefeitura de Carnaúba dos Dantas,nan,Brazil,Latin America,4
840945,Prefeitura de Santa Bárbara,nan,Brazil,Latin America,3
840948,City of Pakse,nan,Lao People's Democratic Republic,Southeast Asia,1
840948,City of Pakse,nan,Lao People's Democratic Republic,Southeast Asia and Oceania,1
841003,Ayuntamiento de Apodaca,nan,Mexico,Latin America,4
841050,Ayuntamiento San Nicolás de los Garza,nan,Mexico,Latin America,2
841098,Municipalidad Distrital de Chimbote,nan,Peru,Latin America,3
841153,Municipalidad de Bellavista,nan,Peru,Latin America,2
841154,Municipalidad de Independencia (Peru),nan,Peru,Latin America,2
841155,Municipalidad de Tarapoto,nan,Peru,Latin America,1
841269,Municipalidad de Montecarlo,nan,Argentina,Latin America,3
841326,Municipalidad de Oro Verde,nan,Argentina,Latin America,1
841416,Municipalidad de Puerto Esperanza,nan,Argentina,Latin America,1
841490,Penampang District Council,nan,Malaysia,Southeast Asia and Oceania,1
841491,Muar Municipal Council,nan,Malaysia,Southeast Asia,2
841491,Muar Municipal Council,nan,Malaysia,Southeast Asia and Oceania,1
841492,Tawau Municipal Council,nan,Malaysia,Southeast Asia and Oceania,1
841529,Epping Forest DC,nan,United Kingdom of Great Britain and Northern Ireland,Europe,1
841540,South Lakeland District Council,nan,United Kingdom of Great Britain and Northern Ireland,Europe,2
841577,Prefeitura de Paiçandu,nan,Brazil,Latin America,1
841952,Overstrand Local Municipality,nan,South Africa,Africa,1
841956,"Municipality of La Cumbre, Valle del Cauca",nan,Colombia,Latin America,1
841964,"City of Hallandale Beach, FL",Hallandale Beach,United States of America,North America,1
841964,"City of Hallandale Beach, FL",Hallandale Beach,United States of America,United States of America,2
841965,"City of Lansing, MI",Lansing,United States of America,United States of America,2
841976,Dhulikhel Municipality,Dhulikhel,Nepal,South Asia,1
841980,Karsiyaka Municipality,Karsiyaka,Turkey,Europe,2
842012,"City of Burlington, ON",nan,Canada,Canada,1
842012,"City of Burlington, ON",nan,Canada,nan,1
842020,"City of Council Bluffs, IA",nan,United States of America,United States of America,1
842026,"The Woodlands Township, TX",nan,United States of America,United States of America,1
842035,"State College Borough, PA",nan,United States of America,United States of America,2
842044,"Ville de Longueuil, QC",nan,Canada,Canada,1
842044,"Ville de Longueuil, QC",nan,Canada,nan,1
842047,"City of Coquitlam, BC",nan,Canada,nan,1
842160,Balikesir Metropolitan Municipality,Balikesir,Turkey,Europe,2
842165,Mezitli,Mezitli,Turkey,Europe,2
842165,Mezitli,nan,Turkey,Europe,1
842890,Maranhão,nan,Brazil,Latin America,1
843399,Wandsworth Council,nan,United Kingdom of Great Britain and Northern Ireland,Europe,3
845130,Prefeitura de Canápolis,nan,Brazil,Latin America,1
845131,Prefeitura de Dois Irmãos,nan,Brazil,Latin America,3
845132,Prefeitura de Goiás (Goiás Velho),nan,Brazil,Latin America,2
845133,Prefeitura de Monteiro Lobato,nan,Brazil,Latin America,2
845134,Prefeitura de São Bento do Una,nan,Brazil,Latin America,1
845299,San Sebastián de Mariquita,nan,Colombia,Latin America,3
845301,Montes de Oca,nan,Costa Rica,Latin America,3
845302,Paraíso,Paraíso,Costa Rica,Latin America,1
845302,Paraíso,nan,Costa Rica,Latin America,2
845304,Santa Ana (Costa Rica),nan,Costa Rica,Latin America,3
845305,Guarco,nan,Costa Rica,Latin America,1
845307,Zarcero,nan,Costa Rica,Latin America,3
845308,Puerto Cortés,nan,Honduras,Latin America,3
845309,Puente Piedra,nan,Peru,Latin America,2
845316,Villa de Soto,nan,Argentina,Latin America,1
845317,Quemú Quemú,nan,Argentina,Latin America,1
847236,Ramona,nan,Argentina,Latin America,2
847242,Oberá,nan,Argentina,Latin America,1
847243,Maggiolo,nan,Argentina,Latin America,1
847244,Chañaritos,nan,Argentina,Latin America,1
847245,Leandro . N. Alem,nan,Argentina,Latin America,1
847246,La Francia,nan,Argentina,Latin America,1
847263,Almafuerte,nan,Argentina,Latin America,1
847922,Junta Municipal de Medio Ambiente Lagunas (JIMAL),nan,Mexico,Latin America,3
848122,Alajuela,nan,Costa Rica,Latin America,3
848124,Goicoechea,nan,Costa Rica,Latin America,2
848125,Oreamuno,nan,Costa Rica,Latin America,3
848126,La Democracia,nan,Guatemala,Latin America,1
848127,Santa Bárbara (Costa Rica),nan,Costa Rica,Latin America,3
848128,Ocú,nan,Panama,Latin America,3
848129,Esquías,nan,Honduras,Latin America,1
848130,San Pedro Yepocapa,nan,Guatemala,Latin America,1
848131,Gámeza,nan,Colombia,Latin America,2
848132,Villa El Chocón,nan,Argentina,Latin America,1
848133,Villa Gobernador Gálvez,nan,Argentina,Latin America,1
848135,San Pedro de la Paz,nan,Chile,Latin America,3
848137,Beteitiva,nan,Colombia,Latin America,2
848138,Prefeitura de Conde (Paraíba),nan,Brazil,Latin America,3
848145,Ciudad Madero,Ciudad Madero,Mexico,Latin America,1
848145,Ciudad Madero,nan,Mexico,Latin America,2
848149,Mato Grosso do Sul,nan,Brazil,Latin America,1
848249,Corrales,nan,Colombia,Latin America,2
848259,Mongua,nan,Colombia,Latin America,3
848300,Aceh,nan,Indonesia,Southeast Asia,1
848301,Central Kalimantan,nan,Indonesia,Southeast Asia,1
848402,Lincoln (Argentina),nan,Argentina,Latin America,1
848404,Mongui,nan,Colombia,Latin America,2
848407,Junta Intermunicipal de Medio Ambiente del Ayuquila Alto,nan,Mexico,Latin America,3
848408,Municipio de Cajamarca,nan,Colombia,Latin America,2
848409,Lince,nan,Peru,Latin America,3
848469,City of Georgetown,nan,Guyana,Latin America,1
848474,Richmond Council,nan,United Kingdom of Great Britain and Northern Ireland,Europe,3
848476,Municipalidad de Cañas,nan,Costa Rica,Latin America,3
848478,Banyuwangi City,nan,Indonesia,Southeast Asia,1
848478,Banyuwangi City,nan,Indonesia,Southeast Asia and Oceania,1
848483,Oliva (Argentina),nan,Argentina,Latin America,2
848484,General Lagos,nan,Argentina,Latin America,1
848502,West Torrens City Council,nan,Australia,Oceania,1
848502,West Torrens City Council,nan,Australia,Southeast Asia and Oceania,1
848526,Coahuila,nan,Mexico,Latin America,1
848527,Sinaloa,nan,Mexico,Latin America,1
848564,City of Zadar,nan,Croatia,Europe,1
848565,Chicago Metropolitan Mayors Caucus,nan,United States of America,North America,1
848565,Chicago Metropolitan Mayors Caucus,nan,United States of America,United States of America,1
848567,Mid-America Regional Council,nan,United States of America,North America,1
848567,Mid-America Regional Council,nan,United States of America,United States of America,2
848568,"Metropolitan Council, Twin Cities",nan,United States of America,North America,1
848568,"Metropolitan Council, Twin Cities",nan,United States of America,United States of America,2
848917,Knysna,nan,South Africa,Africa,2
848927,Ville de Maroua,nan,Cameroon,Africa,3
848937,Rio das Flores,nan,Brazil,Latin America,1
848950,Ushuaia,nan,Argentina,Latin America,1
848964,Presidencia Roque Sáenz Peña,nan,Argentina,Latin America,1
848970,Villa Carlos Paz,nan,Argentina,Latin America,1
848971,Balcarce,nan,Argentina,Latin America,1
848972,Transito,nan,Argentina,Latin America,1
848975,Eldorado,nan,Argentina,Latin America,1
848976,Pronunciamiento,nan,Argentina,Latin America,1
848977,Busbanza,nan,Colombia,Latin America,2
848978,Floresta,nan,Colombia,Latin America,2
848981,City of Ormoc,nan,Philippines,Southeast Asia,2
848981,City of Ormoc,nan,Philippines,Southeast Asia and Oceania,1
848997,Villarino,nan,Argentina,Latin America,2
848998,Villa de Merlo,nan,Argentina,Latin America,1
848999,Alberti,nan,Argentina,Latin America,1
849013,Distrito Federal (Brasil),nan,Brazil,Latin America,1
849016,Concepción del Uruguay,nan,Argentina,Latin America,1
849017,Municipio de Chitré,nan,Panama,Latin America,2
849023,Uruapan,nan,Mexico,Latin America,2
849039,Ceres (Argentina),nan,Argentina,Latin America,1
849040,General Pueyrredon,nan,Argentina,Latin America,2
849041,Gualeguaychú,nan,Argentina,Latin America,2
849042,Plottier,nan,Argentina,Latin America,1
849043,Santa Anita (Argentina),nan,Argentina,Latin America,1
849044,Villa Amelia,nan,Argentina,Latin America,1
849051,Udaipur Municipal Corporation,nan,India,South Asia,1
849051,Udaipur Municipal Corporation,nan,India,South and West Asia,1
849086,Piauí,nan,Brazil,Latin America,1
849121,Junín,nan,Argentina,Latin America,1
849122,Puerto Madryn,nan,Argentina,Latin America,1
849895,Commune de Maga,nan,Cameroon,Africa,2
850301,Bellingen Shire,nan,Australia,Oceania,2
850303,Local Government Unit of Vigan City,nan,Philippines,Southeast Asia,2
850304,Vyas Municipality,nan,Nepal,South Asia,1
850305,Prefeitura de Joaçaba,nan,Brazil,Latin America,2
850383,Prefeitura de Cocal do Sul,nan,Brazil,Latin America,1
850404,Prefeitura de Guabiruba,nan,Brazil,Latin America,1
850413,Prefeitura de Itá,nan,Brazil,Latin America,2
850424,Prefeitura de Itapoá,nan,Brazil,Latin America,2
850468,Prefeitura de Passo de Torres,nan,Brazil,Latin America,1
850487,Prefeitura de Planalto Alegre,nan,Brazil,Latin America,1
850538,Prefeitura de Treze Tílias,nan,Brazil,Latin America,1
850544,Prefeitura de Tunápolis,nan,Brazil,Latin America,1
850566,Prefeitura de Piraquara,nan,Brazil,Latin America,2
850568,Prefeitura de Rolândia,nan,Brazil,Latin America,1
850585,Municipality of Ambato,nan,Ecuador,Latin America,2
851347,Gloucestershire County Council,Gloucester,United Kingdom of Great Britain and Northern Ireland,Europe,1
852443,"Ferndale, MI",nan,United States of America,United States of America,2
852466,South Gloucestershire Council,nan,United Kingdom of Great Britain and Northern Ireland,Europe,2
852472,London Borough of Lewisham,nan,United Kingdom of Great Britain and Northern Ireland,Europe,1
852473,Sandwell Metropolitan Borough Council,nan,United Kingdom of Great Britain and Northern Ireland,Europe,1
852522,Cotswold District Council,nan,United Kingdom of Great Britain and Northern Ireland,Europe,1
852523,Stroud District Council,nan,United Kingdom of Great Britain and Northern Ireland,Europe,2
852524,Westminster City Council,nan,United Kingdom of Great Britain and Northern Ireland,Europe,2
853011,Szabolcs-Szatmár-Bereg County,Nyíregyháza,Hungary,Europe,1
853029,Prešov Region,nan,Slovakia,Europe,1
854042,Città Metropolitana di Milano,Milano,Italy,Europe,1
854042,Metropolitan Municipality of Milan,Milano,Italy,Europe,1
854043,Città Metropolitana di Napoli,Napoli,Italy,Europe,1
854043,Metropolitan Municipality of Naples,Napoli,Italy,Europe,1
854050,"City of Nanaimo, BC",nan,Canada,Canada,1
854055,Tultitlán,nan,Mexico,Latin America,1
854059,Prefeitura de Brejo da Madre de Deus,nan,Brazil,Latin America,1
856655,Cardiff Capital Region,nan,United Kingdom of Great Britain and Northern Ireland,Europe,1
859052,Kitami City,nan,Japan,East Asia,2
859053,City of Noboribetsu,nan,Japan,East Asia,2
859054,Kitahiroshima City,nan,Japan,East Asia,2
859055,Matsumae Town,nan,Japan,East Asia,2
859056,Kutchan Town,nan,Japan,East Asia,2
859057,Kyowa Town,nan,Japan,East Asia,2
859058,Tomari Village,nan,Japan,East Asia,2
859059,Kamifurano Town,nan,Japan,East Asia,2
859060,Shosanbetsu Village,nan,Japan,East Asia,2
859061,Teshio Town,nan,Japan,East Asia,2
859062,Shiraoi Town,nan,Japan,East Asia,2
859063,Atsuma Town,nan,Japan,East Asia,2
859064,Town of Shihoro,nan,Japan,East Asia,2
859065,Nakasatsunai Village,nan,Japan,East Asia,2
859066,Ashoro-Town,nan,Japan,East Asia,2
859067,Hirosaki City,nan,Japan,East Asia,2
859068,Hanamaki City,nan,Japan,East Asia,2
859069,Kuzumaki Town,nan,Japan,East Asia,2
859070,Iwate Town,nan,Japan,East Asia,2
859071,Yahaba Town,nan,Japan,East Asia,2
859072,Noda Village,nan,Japan,East Asia,2
859073,Ichinohe Town,nan,Japan,East Asia,2
859074,Tagajo City,nan,Japan,East Asia,2
859075,Minamisanriku Town,nan,Japan,East Asia,2
859076,Higashine City,nan,Japan,East Asia,1
859077,Fukushima City,nan,Japan,East Asia,1
859078,Town of Yabuki,nan,Japan,East Asia,2
859079,Town of Hanawa,nan,Japan,East Asia,2
859080,Namie Town,nan,Japan,East Asia,2
859081,City of Sakuragawa,nan,Japan,East Asia,2
859082,Numata City,nan,Japan,East Asia,2
859083,Katashina Village,nan,Japan,East Asia,2
859084,Kawaba Village,nan,Japan,East Asia,2
859085,Sayama City,nan,Japan,East Asia,2
859086,Koshigaya City,nan,Japan,East Asia,2
859087,Shiki City,nan,Japan,East Asia,2
859088,Wako City,nan,Japan,East Asia,2
859089,Satte City,nan,Japan,East Asia,2
859090,Yokoze Town,nan,Japan,East Asia,2
859091,Matsubushi Town,nan,Japan,East Asia,2
859092,Yotsukaido City,nan,Japan,East Asia,2
859093,Chonan Town,nan,Japan,East Asia,1
859094,Katsushika City,nan,Japan,East Asia,1
859095,Mizuho Town,nan,Japan,East Asia,2
859096,Kamakura City,nan,Japan,East Asia,2
859097,Yamato City,nan,Japan,East Asia,2
859098,Ayase City,nan,Japan,East Asia,2
859099,Hayama Town,nan,Japan,East Asia,1
859100,Oiso Town,nan,Japan,East Asia,2
859101,Kaisei Town,nan,Japan,East Asia,2
859102,Shibata City,nan,Japan,East Asia,2
859103,Murakami City,nan,Japan,East Asia,2
859104,Myoko City,nan,Japan,East Asia,2
859105,Tainai City,nan,Japan,East Asia,2
859106,City of Kanazawa,nan,Japan,East Asia,2
859107,Tsubata Town,nan,Japan,East Asia,2
859108,Mihama Town,nan,Japan,East Asia,2
859109,Yamanashi City,nan,Japan,East Asia,2
859110,Okaya City,nan,Japan,East Asia,2
859111,Suwa City,nan,Japan,East Asia,2
859112,Omachi City,nan,Japan,East Asia,2
859113,Iiyama City,nan,Japan,East Asia,2
859114,Saku City,nan,Japan,East Asia,2
859115,Chikuma City,nan,Japan,East Asia,2
859116,Kitaaiki Village,nan,Japan,East Asia,2
859117,Tateshina Town,nan,Japan,East Asia,2
859118,Hara Village,nan,Japan,East Asia,2
859119,Minamiminowa Village,nan,Japan,East Asia,2
859120,Matsukawa Town,nan,Japan,East Asia,2
859121,Neba Village,nan,Japan,East Asia,2
859122,Shinano Town,nan,Japan,East Asia,2
859123,Takayama City,nan,Japan,East Asia,2
859124,Kani City,nan,Japan,East Asia,2
859125,City of Shimada,nan,Japan,East Asia,1
859126,Iwata City,nan,Japan,East Asia,2
859127,Kikugawa City,nan,Japan,East Asia,2
859128,Makinohara City,nan,Japan,East Asia,1
859129,Nagaizumi Town,nan,Japan,East Asia,2
859130,Handa City,nan,Japan,East Asia,2
859131,Inazawa City,nan,Japan,East Asia,2
859132,Iwakura City,nan,Japan,East Asia,2
859133,Nagakute City,nan,Japan,East Asia,2
859134,Tobishima Village,nan,Japan,East Asia,2
859135,Higashiura Town,nan,Japan,East Asia,2
859136,Yokkaichi City,nan,Japan,East Asia,2
859137,The City of Suzuka,nan,Japan,East Asia,2
859138,Shima City,nan,Japan,East Asia,2
859139,Minamiise Town,nan,Japan,East Asia,2
859140,Konan City,nan,Japan,East Asia,2
859141,Takashima City,nan,Japan,East Asia,2
859142,Fukuchiyama City,nan,Japan,East Asia,2
859143,Miyazu City,nan,Japan,East Asia,2
859144,Kizugawa City,nan,Japan,East Asia,2
859145,Oyamazaki Town,nan,Japan,East Asia,2
859146,Ine Town,nan,Japan,East Asia,2
859147,Town of Yosano,nan,Japan,East Asia,1
859148,Ibaraki City,nan,Japan,East Asia,2
859149,Ashiya City,nan,Japan,East Asia,2
859150,Shiso City,nan,Japan,East Asia,2
859151,Kato City,nan,Japan,East Asia,2
859152,Hashimoto City,nan,Japan,East Asia,2
859153,Yonago City,nan,Japan,East Asia,1
859154,Hokuei Town,nan,Japan,East Asia,2
859155,Hiezu Village,nan,Japan,East Asia,2
859156,Nanbu Town,nan,Japan,East Asia,2
859157,Matsue City,nan,Japan,East Asia,2
859158,Izumo City,nan,Japan,East Asia,2
859159,Oda City,nan,Japan,East Asia,2
859160,Setouchi City,nan,Japan,East Asia,2
859161,Akaiwa City,nan,Japan,East Asia,2
859162,Fukuyama City,nan,Japan,East Asia,2
859163,Mine City,nan,Japan,East Asia,2
859164,Sanyo-Onoda City,nan,Japan,East Asia,2
859165,Kan-onji City,nan,Japan,East Asia,2
859166,Tadotsu Town,nan,Japan,East Asia,1
859167,Imabari City,nan,Japan,East Asia,2
859168,Saijo City,nan,Japan,East Asia,2
859169,Kuroshio Town,nan,Japan,East Asia,2
859170,Ogori City,nan,Japan,East Asia,2
859171,Onojo City,nan,Japan,East Asia,2
859172,Asakura City,nan,Japan,East Asia,2
859173,Okagaki Town,nan,Japan,East Asia,2
859174,Oki Town,nan,Japan,East Asia,1
859175,Soeda Town,nan,Japan,East Asia,2
859176,Aka Village,nan,Japan,East Asia,2
859177,Takeo City,nan,Japan,East Asia,2
859178,Ureshino City,nan,Japan,East Asia,2
859179,Nagasaki City,nan,Japan,East Asia,2
859180,Isahaya City,nan,Japan,East Asia,2
859181,Tamana City,nan,Japan,East Asia,2
859182,Uto City,nan,Japan,East Asia,2
859183,Kamiamakusa City,nan,Japan,East Asia,2
859184,Nagomi Town,nan,Japan,East Asia,2
859185,Minamioguni Town,nan,Japan,East Asia,2
859186,Reihoku Town,nan,Japan,East Asia,2
859187,Saiki City,nan,Japan,East Asia,2
859188,Kirishima City,nan,Japan,East Asia,2
859189,Minamikyushu City,nan,Japan,East Asia,2
859190,Aira City,nan,Japan,East Asia,2
859191,Nakatane Town,nan,Japan,East Asia,2
859192,Tokunoshima Town,nan,Japan,East Asia,2
859193,China Town,nan,Japan,East Asia,2
859194,Itoman City,nan,Japan,East Asia,2
859195,Nanjo City,nan,Japan,East Asia,2
859196,Yomitan Village,nan,Japan,East Asia,2
859197,Iheya Village,nan,Japan,East Asia,2
859252,Municipalidad de Machu Picchu,nan,Peru,Latin America,1
859253,Mora kommun,nan,Sweden,Europe,1
859254,Uppvidinge Municipality,Åseda,Sweden,Europe,1
859254,Uppvidinge kommun,Åseda,Sweden,Europe,1
860640,Junta Intermunicipal de Medio Ambiente Altos Norte (JIAN),nan,Mexico,Latin America,2
861779,Järfälla kommun,nan,Sweden,Europe,1
861790,Wokingham Borough Council,Wokingham,United Kingdom of Great Britain and Northern Ireland,Europe,1
862419,Sumbawa Regency,nan,Indonesia,Southeast Asia,1
862468,Borlänge kommun,nan,Sweden,Europe,1
862479,San Pedro Sula,nan,Honduras,Latin America,1
862482,San Pedro Garza García,nan,Mexico,Latin America,2
862499,Marcos Juárez,nan,Argentina,Latin America,1
862501,Concordia,nan,Argentina,Latin America,1
862503,Villa Ocampo,nan,Argentina,Latin America,1
862505,Cheltenham Borough Council,nan,United Kingdom of Great Britain and Northern Ireland,Europe,1
862564,Lycksele kommun,Lycksele,Sweden,Europe,1
862572,"Regional District of Nanaimo, BC",nan,Canada,Canada,1
862573,"Regional District of Central Kootenay, BC",nan,Canada,Canada,1
862573,"Regional District of Central Kootenay, BC",nan,Canada,nan,1
862575,Eden District Council,nan,United Kingdom of Great Britain and Northern Ireland,Europe,2
862614,Municipio de Colima,nan,Mexico,Latin America,1
862659,City of Segrate,nan,Italy,Europe,1
862659,Comune di Segrate,nan,Italy,Europe,1
862673,"City of Selkirk, MB",nan,Canada,Canada,1
862673,"City of Selkirk, MB",nan,Canada,nan,1
862705,Comodoro Rivadavia,nan,Argentina,Latin America,1
862760,"City of Oxford, OH",nan,United States of America,United States of America,2
862768,Vallentuna kommun,nan,Sweden,Europe,1
862814,"South-East Region of Ireland (Kilkenny, Carlow, Wexford, and Waterford Counties)",Waterford,Ireland,Europe,1
862814,"South-East Region of Ireland (Kilkenny, Carlow, Wexford, and Waterford Counties)",nan,Ireland,Europe,1
862899,Yukon,nan,Canada,Canada,1
862923,"Laramie, WY",nan,United States of America,United States of America,1
862924,"Leon Valley, TX",nan,United States of America,United States of America,1
862932,"Superior, CO",nan,United States of America,United States of America,1
862936,"City of Melrose, MA",nan,United States of America,United States of America,1
862945,Nueva Concepción,nan,Guatemala,Latin America,1
862946,Manta,Manta,Ecuador,Latin America,1
862946,Manta,nan,Ecuador,Latin America,1
862950,Prefeitura de Rafard,nan,Brazil,Latin America,1
862956,Inashiki City,nan,Japan,East Asia,2
863000,Lo Barnechea,Santiago,Chile,Latin America,1
863001,Puerto Varas,nan,Chile,Latin America,2
863086,Embu City,Embu,Kenya,Africa,1
863086,Embu City,nan,Kenya,Africa,1
863156,Nongsamrong City,nan,Thailand,Southeast Asia,1
863190,Renca,nan,Chile,Latin America,2
863201,Sanggau Regency,nan,Indonesia,Southeast Asia,1
863202,Trenggalek Regency,nan,Indonesia,Southeast Asia,1
863203,Lampung Barat Regency,nan,Indonesia,Southeast Asia,1
863204,Pesisir Barat Regency,nan,Indonesia,Southeast Asia,1
863205,Gorontalo Regency,nan,Indonesia,Southeast Asia,1
863206,Langsa City,nan,Indonesia,Southeast Asia,1
863207,West Nusa Tenggara Province,nan,Indonesia,Southeast Asia,1
863220,Lenakel Town Municipal Council,nan,Vanuatu,Oceania,1
863224,East Central Florida Regional Planning Council,nan,United States of America,United States of America,1
863238,Stadt St.Gallen,nan,Switzerland,Europe,1
863239,New Town Kolkata,nan,India,South Asia,1
863255,Municipio de Tierras Altas,nan,Panama,Latin America,1
863330,Rourkela,nan,India,South Asia,1
863333,Tam Ky,nan,Viet Nam,Southeast Asia,1
863335,Commune de Garoua II,nan,Cameroon,Africa,1
863336,Commune de Garoua III,nan,Cameroon,Africa,1
863397,Ville de Delémont,nan,Switzerland,Europe,1
863405,"City of Boca Raton, FL",nan,United States of America,United States of America,1
863407,"Town of Durham, NH",nan,United States of America,United States of America,2
863412,"City of Tumwater, WA",nan,United States of America,United States of America,2
863436,Stadt Thun,nan,Switzerland,Europe,1
863463,Valle de Santiago,nan,Mexico,Latin America,2
863464,Tilarán,nan,Costa Rica,Latin America,1
863469,San Bernardo,nan,Chile,Latin America,2
863478,Coatzacoalcos,nan,Mexico,Latin America,1
863479,Heroica Guaymas de Zaragoza,nan,Mexico,Latin America,2
863498,Zinacantepec,nan,Mexico,Latin America,1
